no,plot,block,replanted,species,mycorrhiza,substrate,soilType,acidbrickRatioTreat,brickRatio,acid,conf.low,conf.high,rgr13,rgr12,rgr23,sla1,sla2,sla3,abstransRatio,srl,rtd,branchingIntensity,rmf,lmf,smf,rootshootRatio
38,EY5Anoac,E,1,Acer,Control,substrate_2,rich,Acid_5,5,Acid,38,38,9.452624985729515e-4,0.00258642376910145,0.0014897069765495985,180,183.85964912280704,190.97560975609755,1.0991735537190084,50.52631578947368,3,6.434523809523809,0.6240736528308212,0.14785638176876936,0.2280699654004094,1.6600955414012741
39,EY5Tmyac,E,0,Tilia,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,39,39,0.002688820087013113,0.0068243422860604554,0.004437028200124113,153.10344827586206,191.66666666666669,164.28571428571428,0.18723404255319176,43.749999999999964,2.5568181818181794,4.935064935064935,0.5015158425670057,0.10633255529024585,0.3921516021427486,1.0060818083961247
40,EY5Tnoac,E,0,Tilia,Control,substrate_2,rich,Acid_5,5,Acid,40,40,0.0020180194254112737,0.00512182104166883,0.0033300885924631264,193.84615384615384,187.77777777777777,202.5,0.5811965811965805,67.40196078431381,4.1764705882353,4.310545454545455,0.5343226590297665,0.10176747953368627,0.36390986143654724,1.1474096161013787
41,AZ30Amyac,A,0,Acer,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,41,41,6.621296869787927e-4,0.0016805139337994358,0.0010926309675586437,156.94915254237287,170,151.55555555555557,0.6935483870967745,35.620155038759684,3.5891472868217056,2.5331882480957564,0.6148005702728689,0.1182984649050098,0.2669009648221213,1.596057841280771
42,AZ30Anoac,A,0,Acer,Control,substrate_4,poor,Acid_30,30,Acid,42,42,5.416255332075127e-4,0.0013746691522168936,8.937778233494997e-4,185.45454545454544,184,183.47826086956522,0.3534482758620689,27.940379403794058,3.311653116531167,2.9776915615906887,0.6060056666117273,0.16167894955773748,0.23231538383053538,1.5381075697211153
43,AZ30Tmyac,A,0,Tilia,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,43,43,6.891416303911167e-4,0.0017490714206122365,0.001137205446617143,231.875,228.00000000000003,234.16666666666669,0.23571428571428493,93.03030303030326,4.333333333333344,5.726384364820847,0.61215179971643785,0.06931098934573886,0.31853721093782317,1.5783283234752254
44,AZ30Tnoac,A,0,Tilia,Control,substrate_4,poor,Acid_30,30,Acid,44,44,9.346825457359713e-4,0.002372264939449449,0.0015423913387233167,221,221,267.1428571428571,1.0980392156862768,70.08928571428565,2.6696428571428545,5.686624203821656,0.5482182510309823,0.08961615734376654,0.3621655916252511,1.213458162668227
45,BZ30Amyac,B,0,Acer,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,45,45,7.594189806462685e-4,0.0019274383910967794,0.0012531754910311216,171,174.70588235294116,157.14285714285714,1.7419354838709675,37.469135802469154,3.339506172839508,1.99835255354201,0.5759320417498189,0.12313017678328594,0.3009377814668951,1.358112610361486
46,BZ30Anoac,B,1,Acer,Control,substrate_4,poor,Acid_30,30,Acid,46,46,0.0010218679997783108,0.0027960314595161144,0.001610435080922709,169.26470588235293,172.92307692307693,167.10526315789474,1.7126436781609249,26.644295302013422,1.9530201342281874,2.8967254408060454,0.5417360094640387,0.1444669460429491,0.31379704449301227,1.1821483264056003
47,BZ30Tmyac,B,0,Tilia,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,47,47,9.666650482127157e-4,0.0024534379212790124,0.0015951681184287571,167.2,165.23809523809527,173.52941176470588,0.7292817679558004,38.901515151515184,1.8143939393939408,5.183057448880234,0.5114924499100681,0.125120257665119,0.36338729242481277,1.0470512683292303
48,BZ30Tnoac,B,0,Tilia,Control,substrate_4,poor,Acid_30,30,Acid,48,48,0.0016746344597740352,0.0042502950691004045,0.002763442730439839,129.28571428571428,376.25,223.74999999999997,1.2592592592592582,47.941176470588296,2.676470588235298,5.458077709611452,0.5989270876522004,0.08207610231589994,0.3189968100318997,1.4933122362869193
49,CZ30Amyac,C,1,Acer,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,49,49,7.380844233664501e-4,0.002019543882340103,0.0011632001866481864,162.6923076923077,159.83333333333334,176.75675675675677,1.17829457364341,42.434210526315816,3.812500000000002,2.39922480620155,0.6130386026913144,0.11426192741606632,0.27269946989261923,1.5842371020856203
50,CZ30Anoac,C,0,Acer,Control,substrate_4,poor,Acid_30,30,Acid,50,50,0.0012622271418985124,0.0032035873655793766,0.002082897792461503,182.69841269841268,191.25,190.76923076923077,0.7195121951219499,52.118644067796666,4.974576271186446,2.2601626016260163,0.6075201225415818,0.14176095721160098,0.2507189202468173,1.547901325478645
51,CZ30Tmyac,C,0,Tilia,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,51,51,0.0019874201060410225,0.005044158638701943,0.0032795943092620407,181.76470588235293,166.11111111111111,167.1428571428571,0.4040404040404045,45.249999999999964,3.8749999999999964,4.787292817679558,0.5633021841927495,0.10644186744727163,0.33025594835997896,1.2899129874315183
52,CZ30Tnoac,C,0,Tilia,Control,substrate_4,poor,Acid_30,30,Acid,52,52,0.001903977281194165,0.0048323771212917125,0.0031418989057161663,203.07692307692307,167.69230769230768,191.53846153846152,0.9859813084112145,44.644549763033204,2.5260663507109022,6.3906581740976645,0.5754147979585976,0.09230497315688309,0.33228022888451936,1.355239879279842
53,DZ30Amyac,D,0,Acer,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,53,53,0.0013497458516784158,0.003425713656162066,0.0022273191262679156,139.2156862745098,134.18604651162792,151.7241379310345,1.035714285714285,48.48275862068965,3.3034482758620682,2.581792318634424,0.5730337078651686,0.12862401655318434,0.29834227558164716,1.3421052631578947
54,DZ30Anoac,D,0,Acer,Control,substrate_4,poor,Acid_30,30,Acid,54,54,0.0013587089852431272,0.0034484624788507635,0.0022421098802421924,178.125,181.19047619047618,179.0625,0.6354581673306775,34.514106583072106,3.68025078369906,2.6067211625794733,0.6529336382495168,0.14882364186036634,0.1982427198901169,1.8812933496532025
55,DZ30Tmyac,D,0,Tilia,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,55,55,0.0017296002740353209,0.004389800695513559,0.002854146035245565,223.125,204.11764705882354,216,0.3452380952380945,91.49425287356348,4.459770114942542,6.021356783919598,0.5419192847081878,0.07783140981744693,0.3802493054743652,1.1830213903743316
56,DZ30Tnoac,D,0,Tilia,Control,substrate_4,poor,Acid_30,30,Acid,56,56,0.0015651898816913211,0.00397251997146656,0.0025828398401054665,231.66666666666669,203,191.11111111111111,0.44906444906444865,65.00000000000007,4.115740740740746,5.37962962962963,0.5154272021697487,0.11329300163916084,0.3712797961910906,1.0636734139383235
57,EZ30Amyac,E,1,Acer,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,57,57,0.0014620266647229765,0.004000391978321764,0.0023041126942277296,187.3170731707317,186.66666666666669,181.28205128205127,1.2736842105263162,36.77685950413223,2.4669421487603307,5.002247191011236,0.5098350673761682,0.13342863950440792,0.356736293119424,1.0401296246286793
58,EZ30Anoac,E,1,Acer,Control,substrate_4,poor,Acid_30,30,Acid,58,58,4.6378782807272796e-4,0.0012690145479781392,7.309165064326384e-4,163.6842105263158,168.68421052631578,163.24324324324323,0.8873239436619718,42.06349206349205,3.433862433862433,2.7654088050314467,0.5829304860790001,0.10389956142194572,0.31316995249905416,1.397681841088527
59,EZ30Tmyac,E,0,Tilia,Mycorrhiza,substrate_4,poor,Acid_30,30,Acid,59,59,0.0017071520367021586,0.0043328260931516744,0.002817102477526177,178.8235294117647,200.76923076923077,216.36363636363637,0.13777777777777736,72.41935483870988,3.7580645161290427,6.233853006681515,0.5778278929462901,0.09449600524281764,0.32767610181089235,1.3687022029448694
60,EZ30Tnoac,E,0,Tilia,Control,substrate_4,poor,Acid_30,30,Acid,60,60,0.0014195124611828638,0.003602784344415203,0.002342446358206351,218.1818181818182,198,202.22222222222223,0.4520795660036167,66.76,4.52,5.491312162971839,0.46799339917736016,0.09687774521153009,0.43512885561110975,0.8796759259259259
61,AZ5Amyac,A,1,Acer,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,61,61,3.867119051432488e-4,0.0010581196913735519,6.094470307204557e-4,184.07407407407408,186.93877551020407,196.90476190476193,1.0975609756097564,68.0000000000001,4.800000000000008,2.110021786492375,0.5926813549764369,0.1062351472187538,0.3010834978048093,1.455080346106304
62,AZ5Anoac,A,0,Acer,Control,substrate_5,poor,Acid_5,5,Acid,62,62,8.105211806324616e-4,0.002057137996496519,0.0013375031496655814,159.99999999999997,159.62962962962962,155.84905660377356,0.9281609195402302,37.21362229102168,2.235294117647059,5.723793677204659,0.6228545978017084,0.14862063297649533,0.2285247692217962,1.6514972585407004
63,AZ5Tmyac,A,0,Tilia,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,63,63,0.0014948391865656375,0.0037939668485116994,0.0024667487636966527,186.875,177.5,205.45454545454547,0.4346103038309113,36.86930091185413,2.9574468085106407,5.24237427864798,0.4285442129019022,0.11130162079779594,0.46015416630030187,0.7499166559815362
64,AZ5Tnoac,A,0,Tilia,Control,substrate_5,poor,Acid_5,5,Acid,64,64,0.0010978383409173135,0.002786361441349921,0.0018116272268847542,226.66666666666666,207.6470588235294,221.42857142857142,0.7812499999999989,61.20000000000003,2.8666666666666685,6.009803921568627,0.442992103270472,0.108084231781632,0.44892366494789604,0.7953066839294384
65,BZ5Amyac,B,0,Acer,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,65,65,0.0013805980647825077,0.003504017914420821,0.0022782307288107106,158.0701754385965,163.58490566037736,160.39215686274508,2.0691823899371076,32.85714285714288,2.7750759878419475,2.463459759481961,0.6511335606215337,0.121840091753209,0.22702634762525725,1.866426480522405
66,BZ5Anoac,B,0,Acer,Control,substrate_5,poor,Acid_5,5,Acid,66,66,8.856318822496672e-4,0.0022477722228836663,0.0014614490777759526,149.99999999999997,153.38709677419354,161.76470588235293,1.5101010101010102,26.421404682274254,2.48494983277592,2.1848101265822786,0.47229289258968826,0.1457878133025244,0.38191929410778747,0.8949905846586657
67,BZ5Tmyac,B,0,Tilia,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,67,67,0.0022095834717512654,0.0056080189201513095,0.0036462031141619826,186.77325581395348,157.27272727272728,180,0.2999999999999991,71.95402298850595,2.86206896551725,5.303514376996805,0.4988211528089918,0.08491734620179876,0.4162615009892095,0.9952957025316795
68,BZ5Tnoac,B,0,Tilia,Control,substrate_5,poor,Acid_5,5,Acid,68,68,0.0017847404678016235,0.004529748904692164,0.0029451370970436687,163.2801161103048,179.16666666666669,200,1.7368421052631589,51.242424242424235,2.499999999999999,5.287403903015967,0.4938004653374358,0.09138949228795318,0.414810042374611,0.9755055694916953
69,CZ5Amyac,C,1,Acer,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,69,69,8.224489518687751e-4,0.002250381794683888,0.0012961562987048542,178.3132530120482,195.7142857142857,172.85714285714283,0.4057507987220438,44.80314960629929,2.4173228346456734,3.18804920913884,0.6123713228362575,0.11505664219264271,0.27257203497109983,1.5797884906682973
70,CZ5Anoac,C,0,Acer,Control,substrate_5,poor,Acid_5,5,Acid,70,70,9.071339326827898e-4,0.0023023453617546895,0.0014969312599394447,137.92499123729408,138.125,134.56140350877195,0.6974999999999999,34.83870967741937,4.473118279569894,2.6213991769547325,0.6262496509878215,0.1268652241454589,0.24688512486671949,1.675582785790029
71,CZ5Tmyac,C,0,Tilia,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,71,71,0.0015048450519472966,0.003819362169887976,0.002483260209397129,170.38216560509554,185,176.99999999999997,0.7164556962025314,55.86572438162546,3.925795053003535,5.39089184060721,0.512930631779126,0.09829148696991342,0.3887778812509607,1.0530956476542876
72,CZ5Tnoac,C,0,Tilia,Control,substrate_5,poor,Acid_5,5,Acid,72,72,9.67869160204229e-4,0.0024564940098661683,0.0015971551159553886,241.7695473251029,212.22222222222226,213.33333333333334,0.3554083885209715,51.552795031055894,2.46583850931677,6.8180722891566266,0.6291861793381358,0.08681751314075678,0.2839963075211074,1.6967711133719445
73,DZ5Amyac,D,0,Acer,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,73,73,0.0016955607829541705,0.004303406987171726,0.002797974860917306,178.13423385394682,150.2857142857143,158.8372093023256,0.7259786476868314,48.08823529411771,3.504901960784318,3.2018348623853212,0.5873176690216537,0.14792492623272024,0.2647574047456261,1.4231713473879515
74,DZ5Anoac,D,0,Acer,Control,substrate_5,poor,Acid_5,5,Acid,74,74,7.167764812048654e-4,0.0018192098734927833,0.0011828078329423045,144.68296314679242,135.73333333333332,138.1012658227848,0.8190476190476192,31.511627906976745,2.7945736434108523,2.5215252152521526,0.5587682447772978,0.1583643616931072,0.28286739352959495,1.2663826620893859
75,DZ5Tmyac,D,0,Tilia,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,75,75,0.001627661256244387,0.0041310750362289605,0.0026859286454633522,180.73721759809752,182.35294117647058,192,0.5673076923076923,48.78934624697339,1.8280871670702188,6.116129032258065,0.5658626335327206,0.0942990530842498,0.33983831338302967,1.3034184044956405
76,DZ5Tnoac,D,0,Tilia,Control,substrate_5,poor,Acid_5,5,Acid,76,76,7.721938799631976e-4,0.0019598616409935506,0.0012742563319534039,193.50180505415162,189.0909090909091,193.63636363636365,0.44144144144144115,61.020408163265394,4.319727891156469,5.472686733556299,0.5116837931129368,0.07006607006912746,0.41825013681793577,1.0478533906847738
77,EZ5Amyac,E,1,Acer,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,77,77,8.641517167296745e-4,0.0023644887463891706,0.0013618786772488863,189.0070002592689,175,183.03030303030303,2.0987654320987654,49.05882352941178,2.0764705882352947,5.232014388489208,0.48063353198092446,0.14958956674950816,0.36977690126956736,0.9254227247556372
78,EZ5Anoac,E,0,Acer,Control,substrate_5,poor,Acid_5,5,Acid,78,78,0.002595333597458135,0.0065870695109399415,0.004282758975310774,157.17659406979794,143.01075268817203,158.88888888888889,1.321229050279329,24.524312896405927,4.0782241014799165,4.070689655172414,0.43882432746032596,0.13274960281333117,0.42842606972634284,0.7819731840376632
79,EZ5Tmyac,E,0,Tilia,Mycorrhiza,substrate_5,poor,Acid_5,5,Acid,79,79,0.002631673257306366,0.006679301147619962,0.004342725834494958,246.24373956594323,214.54545454545456,246.66666666666666,0.36590038314176226,44.921465968586425,2.7120418848167565,4.755244755244755,0.5112370745662405,0.09567687234530424,0.39308605308845523,1.0459816977986534
