no	plot	block	replanted	species	mycorrhiza	substrate	soilType	acidbrickRatioTreat	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	comment	conf.low	conf.high	rgr13	rgr12	rgr23	sla1	sla2	sla3	abstransRatio	srl	rtd	rmf	lmf	smf	rootshootRatio
36	DY5Tnoac	D	0	Tilia	Control	substrate_2	rich	Acid_5	5	Acid	22.2	16.9	27.3	18.4	16.7	23.8	NA	36	36	0.00124390647811387	0.00315708872434336	0.00205266546035045	208.888888888889	212.857142857143	214.166666666667	0.171717171717171	148.823529411766	7.9117647058824	0.403875352469091	0.125563348034608	0.470561299496301	0.677501516070346
38	EY5Anoac	E	1	Acer	Control	substrate_2	rich	Acid_5	5	Acid	26.7	25.6	23.7	17.8	15.8	10.8	balls_turbid_prob	38	38	0.000902756047887658	0.00229123409980183	0.0014897069765496	180	183.859649122807	190.975609756098	1.09917355371901	50.5263157894737	3	0.624073652830821	0.147856381768769	0.228069965400409	1.66009554140127
40	EY5Tnoac	E	0	Tilia	Control	substrate_2	rich	Acid_5	5	Acid	19.6	22.7	19.8	19.8	19.7	21.2	NA	40	40	0.00201801942541127	0.00512182104166883	0.00333008859246313	193.846153846154	187.777777777778	202.5	0.58119658119658	67.4019607843138	4.1764705882353	0.534322659029767	0.101767479533686	0.363909861436547	1.14740961610138
42	AZ30Anoac	A	0	Acer	Control	substrate_4	poor	Acid_30	30	Acid	15.8	19.9	17.8	8.7	9.9	8.6	NA	42	42	0.000541625533207513	0.00137466915221689	0.0008937778233495	185.454545454545	184	183.478260869565	0.353448275862069	27.9403794037941	3.31165311653117	0.606005666611727	0.161678949557737	0.232315383830535	1.53810756972112
44	AZ30Tnoac	A	0	Tilia	Control	substrate_4	poor	Acid_30	30	Acid	15	10.7	14	10.4	10	12.4	NA	44	44	0.000934682545735971	0.00237226493944945	0.00154239133872332	221	221	267.142857142857	1.09803921568628	70.0892857142857	2.66964285714285	0.548218251030982	0.0896161573437665	0.362165591625251	1.21345816266823
46	BZ30Anoac	B	1	Acer	Control	substrate_4	poor	Acid_30	30	Acid	18	17.3	15.1	11	11	10.1	NA	46	46	0.000975916762100914	0.00247691917337569	0.00161043508092271	169.264705882353	172.923076923077	167.105263157895	1.71264367816092	26.6442953020134	1.95302013422819	0.541736009464039	0.144466946042949	0.313797044493012	1.1821483264056
48	BZ30Tnoac	B	0	Tilia	Control	substrate_4	poor	Acid_30	30	Acid	15.8	16.2	18.9	8.6	11.5	15.7	NA	48	48	0.00167463445977404	0.0042502950691004	0.00276344273043984	129.285714285714	376.25	223.75	1.25925925925926	47.9411764705883	2.6764705882353	0.5989270876522	0.0820761023158999	0.3189968100319	1.49331223628692
50	CZ30Anoac	C	0	Acer	Control	substrate_4	poor	Acid_30	30	Acid	17.8	17	22.2	3	16.3	14.9	NA	50	50	0.00126222714189851	0.00320358736557938	0.0020828977924615	182.698412698413	191.25	190.769230769231	0.71951219512195	52.1186440677967	4.97457627118645	0.607520122541582	0.141760957211601	0.250718920246817	1.54790132547864
52	CZ30Tnoac	C	0	Tilia	Control	substrate_4	poor	Acid_30	30	Acid	14.4	17.5	16.5	4.6	8.8	7.6	NA	52	52	0.00190397728119417	0.00483237712129171	0.00314189890571617	203.076923076923	167.692307692308	191.538461538462	0.985981308411214	44.6445497630332	2.5260663507109	0.575414797958598	0.0923049731568831	0.332280228884519	1.35523987927984
54	DZ30Anoac	D	0	Acer	Control	substrate_4	poor	Acid_30	30	Acid	15	19.3	15.8	15.1	10.6	12.8	NA	54	54	0.00135870898524313	0.00344846247885076	0.00224210988024219	178.125	181.190476190476	179.0625	0.635458167330678	34.5141065830721	3.68025078369906	0.652933638249517	0.148823641860366	0.198242719890117	1.8812933496532
56	DZ30Tnoac	D	0	Tilia	Control	substrate_4	poor	Acid_30	30	Acid	20.6	18.7	16	9.6	8.9	7.9	turbid	56	56	0.00156518988169132	0.00397251997146656	0.00258283984010547	231.666666666667	203	191.111111111111	0.449064449064449	65.0000000000001	4.11574074074075	0.515427202169749	0.113293001639161	0.371279796191091	1.06367341393832
58	EZ30Anoac	E	1	Acer	Control	substrate_4	poor	Acid_30	30	Acid	14.5	18.1	19.6	15.2	16.7	15.3	NA	58	58	0.000442932272634768	0.00112418136587194	0.000730916506432638	163.684210526316	168.684210526316	163.243243243243	0.887323943661972	42.063492063492	3.43386243386243	0.582930486079	0.103899561421946	0.313169952499054	1.39768184108853
60	EZ30Tnoac	E	0	Tilia	Control	substrate_4	poor	Acid_30	30	Acid	20.1	15.5	19.9	13.8	12.3	10.7	balls	60	60	0.00141951246118286	0.0036027843444152	0.00234244635820635	218.181818181818	198	202.222222222222	0.452079566003617	66.76	4.52	0.46799339917736	0.0968777452115301	0.43512885561111	0.879675925925926
62	AZ5Anoac	A	0	Acer	Control	substrate_5	poor	Acid_5	5	Acid	24.5	23.8	22	5	7.6	6	turbid	62	62	0.000810521180632462	0.00205713799649652	0.00133750314966558	160	159.62962962963	155.849056603774	0.92816091954023	37.2136222910217	2.23529411764706	0.622854597801708	0.148620632976495	0.228524769221796	1.6514972585407
64	AZ5Tnoac	A	0	Tilia	Control	substrate_5	poor	Acid_5	5	Acid	13.5	11.2	18.4	8.1	5.2	8.8	NA	64	64	0.00109783834091731	0.00278636144134992	0.00181162722688475	226.666666666667	207.647058823529	221.428571428571	0.781249999999999	61.2	2.86666666666667	0.442992103270472	0.108084231781632	0.448923664947896	0.795306683929438
66	BZ5Anoac	B	0	Acer	Control	substrate_5	poor	Acid_5	5	Acid	20.1	24.8	20.4	9.5	7.3	5.1	NA	66	66	0.000885631882249667	0.00224777222288367	0.00146144907777595	150	153.387096774194	161.764705882353	1.51010101010101	26.4214046822743	2.48494983277592	0.472292892589688	0.145787813302524	0.381919294107787	0.894990584658666
