"","term","sumsq","df","statistic","p.value"
"1","(Intercept)",0.834196305545442,1,16.3608870293023,0.000177543508685089
"2","species",0.224116654976173,1,4.39554484846678,0.0410123856985067
"3","soilType",0.0830618234241323,1,1.62907111965873,0.207613346230797
"4","acidbrickRatioTreat",0.117192202663443,2,1.14923092786776,0.324949038150812
"5","species:acidbrickRatioTreat",0.0132523110911293,2,0.129957159482605,0.878422910805974
"6","soilType:acidbrickRatioTreat",0.055777404362197,2,0.546974258631447,0.582054886664441
"7","Residuals",2.60034871621699,51,NA,NA
