"","term","statistic","df","p.value"
"1","(Intercept)",9.08790466528602,1,0.00257305494609244
"2","species",5.18000565185438,1,0.0228482495542092
"3","brickRatio",1.43023469934323,1,0.231726139251221
"4","soilType",0.151526520154534,1,0.697080808606032
"5","mycorrhiza",0.00756701321993321,1,0.930680588761676
"6","species:brickRatio",0.0575006411461733,1,0.810490801282601
"7","species:soilType",0.693366473051797,1,0.40502167342446
"8","species:mycorrhiza",0.348570346188553,1,0.554923540188068
"9","brickRatio:soilType",0.324270410715648,1,0.569052515985873
"10","brickRatio:mycorrhiza",0.339192032638262,1,0.560295967642289
"11","soilType:mycorrhiza",0.432613438684504,1,0.51070935223187
"12","species:brickRatio:soilType",1.40160120197487,1,0.236455661156603
"13","species:brickRatio:mycorrhiza",0.078108466404251,1,0.779877313608976
