"","term","statistic","df","p.value"
"1","(Intercept)",131.681631820071,1,1.75645388239658e-30
"2","species",74.269624996567,1,6.81440021191317e-18
"3","soilType",3.38306162210938,1,0.0658695892182336
"4","acidbrickRatioTreat",3.12120139506648,2,0.210009880886049
"5","species:soilType",7.5525116953001,1,0.00599264885911136
"6","species:acidbrickRatioTreat",5.16620630799024,2,0.075539230077786
"7","soilType:acidbrickRatioTreat",2.07966925143731,2,0.353513139106319
