"","term","sumsq","df","statistic","p.value"
"1","(Intercept)",2.29461927874003,1,752.256730973416,3.38041080366802e-32
"2","species",0.0133391855031479,1,4.37305315675546,0.0415119922379243
"3","soilType",0.00492834521547406,1,1.6156845256424,0.209461638010512
"4","acidbrickRatioTreat",0.00705498271434052,2,1.1564354668627,0.322716893495271
"5","species:acidbrickRatioTreat",0.000735663168159428,2,0.120588102589514,0.88665096821691
"6","soilType:acidbrickRatioTreat",0.0033484725889299,2,0.54887341591709,0.580973730866793
"7","Residuals",0.155566016756422,51,NA,NA
