"","term","statistic","df","p.value"
"1","(Intercept)",106.122641043711,1,6.93102000283989e-25
"2","species",0.264010768832556,1,0.607377995682611
"3","brickRatio",0.0795037249242866,1,0.777971077009453
"4","soilType",0.204937868405821,1,0.650764319494903
"5","mycorrhiza",0.00513501194823961,1,0.942873287347297
"6","species:brickRatio",0.0134307712034731,1,0.907738766780885
"7","species:soilType",0.546175260785226,1,0.459884705496897
"8","species:mycorrhiza",1.38773721273967,1,0.238787602162794
"9","brickRatio:soilType",0.238830414712615,1,0.625052129888663
"10","brickRatio:mycorrhiza",0.513946533511797,1,0.473435404522862
"11","soilType:mycorrhiza",0.00101625395470393,1,0.974568754410689
"12","species:brickRatio:soilType",0.00216545958080628,1,0.962884237773918
"13","species:brickRatio:mycorrhiza",0.00054324832739834,1,0.981404839115454
