"","term","statistic","df","p.value"
"1","(Intercept)",716.083546991587,1,9.51233881737834e-158
"2","species",5.182811459276,1,0.0228113844481425
"3","brickRatio",1.41994045770852,1,0.233413203690387
"4","soilType",0.138393844868617,1,0.709882997482644
"5","mycorrhiza",0.00615849088044187,1,0.937449378474437
"6","species:brickRatio",0.0658722701537727,1,0.797444389225678
"7","species:soilType",0.687075699819862,1,0.40716082818324
"8","species:mycorrhiza",0.364769793614392,1,0.545869073854854
"9","brickRatio:soilType",0.28942460234524,1,0.590589494724826
"10","brickRatio:mycorrhiza",0.303209217705104,1,0.581877489257709
"11","soilType:mycorrhiza",0.422158501958805,1,0.515861954140627
"12","species:brickRatio:soilType",1.38763752523626,1,0.238804470508169
"13","species:brickRatio:mycorrhiza",0.064491137839965,1,0.799533371895869
