"","term","statistic","df","p.value"
"1","(Intercept)",584.131754132719,1,4.73527886133404e-129
"2","species",20.0953418348595,1,7.36759007100357e-06
"3","soilType",1.41586290715665,1,0.234085550295195
"4","acidbrickRatioTreat",10.6942786566077,2,0.00476175334723419
"5","species:soilType",1.15451774406208,1,0.282605420651937
"6","species:acidbrickRatioTreat",1.47572695914818,2,0.478134368868567
"7","soilType:acidbrickRatioTreat",12.712707718698,2,0.00173568373550568
"8","species:soilType:acidbrickRatioTreat",9.73717428110101,2,0.00768421433683786
