"","term","sumsq","df","statistic","p.value"
"1","(Intercept)",0.526542107474607,1,183.374649979319,1.61205220813531e-18
"2","species",0.0423467933317176,1,14.7477823610237,0.000341045658038588
"3","soilType",0.000245549843453846,1,0.0855156994220014,0.771143774332442
"4","acidbrickRatioTreat",0.00640977351126976,2,1.11614053025426,0.33540925214
"5","species:acidbrickRatioTreat",0.000690739172215904,2,0.120279130703905,0.886923672613248
"6","soilType:acidbrickRatioTreat",0.00128740959151669,2,0.224177971593445,0.799956200651746
"7","Residuals",0.146441438248054,51,NA,NA
