"","term","sumsq","df","statistic","p.value"
"1","(Intercept)",0.116660915379235,1,685.415863918762,3.10743865237851e-31
"2","species",0.00815191813244927,1,47.894823996403,7.26510569576323e-09
"3","soilType",0.00297375470327231,1,17.4716497157596,0.000114489589714178
"4","acidbrickRatioTreat",0.00023825453426967,2,0.699906377847929,0.501338717547902
"5","species:acidbrickRatioTreat",6.6342850631668e-05,2,0.194891503005607,0.82353393883448
"6","soilType:acidbrickRatioTreat",0.000950646708163435,2,2.79265910369046,0.0706469711639504
"7","Residuals",0.0086804332924605,51,NA,NA
