"","term","statistic","df","p.value"
"1","(Intercept)",217.948648583008,1,2.53422384037916e-49
"2","species",19.0690843135925,1,1.26070690166214e-05
"3","brickRatio",0.779396151377963,1,0.3773258817876
"4","soilType",0.0881354197741492,1,0.766561102131388
"5","mycorrhiza",0.51875374423369,1,0.471373783879668
"6","species:brickRatio",0.278893899787701,1,0.597427112018975
"7","species:soilType",1.28386914445554,1,0.257180870976864
"8","species:mycorrhiza",1.49546269481447,1,0.221370822445276
"9","brickRatio:soilType",0.882720624550187,1,0.347457603558125
"10","brickRatio:mycorrhiza",0.025537013573901,1,0.873036224403948
"11","soilType:mycorrhiza",0.214750744212682,1,0.643069030523139
"12","species:brickRatio:soilType",2.42165302636887,1,0.119668592935891
"13","species:brickRatio:mycorrhiza",6.62065119916149e-06,1,0.997946995334225
